epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,388.364,1.06477,3.44938,1.02801,0.26505,0.41123,0.25675,0.18382,1.03189,2.78734,1.054,0.00332902,0.00332902,0.00332902
2,808.049,1.06043,2.31016,0.99067,0.38058,0.50542,0.39955,0.28794,0.97213,2.65703,1.01096,0.00664037,0.00664037,0.00664037
3,1240.48,1.10179,2.05711,1.011,0.3408,0.45286,0.33,0.23277,1.0223,1.97939,1.01732,0.00992972,0.00992972,0.00992972
4,1665.23,1.11387,1.94615,1.03209,0.43795,0.57673,0.47572,0.34227,1.0242,1.95747,1.05796,0.009901,0.009901,0.009901
5,2082.94,1.0709,1.75255,1.01433,0.42238,0.59103,0.46482,0.33582,0.97929,1.68491,1.02615,0.009868,0.009868,0.009868
6,2505.74,1.05153,1.68246,1.01215,0.48311,0.64384,0.55409,0.40739,0.94026,1.69162,1.02845,0.009835,0.009835,0.009835
7,2928.22,1.03352,1.60625,1.01304,0.50366,0.59751,0.54367,0.39616,0.96331,1.4082,1.04144,0.009802,0.009802,0.009802
8,3355,1.02738,1.62798,1.01441,0.40065,0.51184,0.4336,0.31697,0.938,1.58767,1.0264,0.009769,0.009769,0.009769
9,3777.75,1.0091,1.5889,1.00288,0.45183,0.61001,0.49951,0.35325,0.97004,1.44529,1.01261,0.009736,0.009736,0.009736
10,4190.94,1.00263,1.47304,1.00131,0.51178,0.61441,0.55877,0.41052,0.93195,1.54327,1.03483,0.009703,0.009703,0.009703
11,4676.42,0.99559,1.50717,1.00147,0.54824,0.69032,0.62928,0.46653,0.92397,1.26738,1.01353,0.00967,0.00967,0.00967
12,5094.81,0.99244,1.45155,1.00348,0.52835,0.63834,0.58927,0.43296,0.93814,1.45789,1.03721,0.009637,0.009637,0.009637
13,5511.99,1.00284,1.49584,1.01795,0.47861,0.64576,0.55746,0.40712,0.93031,1.35847,1.05003,0.009604,0.009604,0.009604
14,5941.47,0.98967,1.53468,1.01436,0.54526,0.64934,0.6086,0.45691,0.90859,1.23716,1.03146,0.009571,0.009571,0.009571
15,6375.72,0.9872,1.42137,1.00944,0.51054,0.55088,0.53814,0.3945,0.92332,1.55386,1.03743,0.009538,0.009538,0.009538
16,6817,0.97213,1.3409,1.00493,0.51427,0.6639,0.59949,0.44889,0.8933,1.20614,1.03735,0.009505,0.009505,0.009505
17,7128.83,0.97326,1.39013,1.00598,0.54315,0.68564,0.62226,0.46747,0.89414,1.20942,1.02771,0.009472,0.009472,0.009472
